,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,1,9,250.0u,0.0p,,2,3,2,2,2,2
3,ISGS,,100u,40.0,,,4,,4,4,,4
4,ISGS,,100u,40.0,,RV,5,,5,5,,5
5,VTH,5.2,7.3,4.0m,0.0p,,6,7,6,6,6,6
7,ABSDEL,,2,2.0,6.0,,8,,8,8,8,8
8,BVCES,660,,250.0u,,,9,9,,9,,9
10,BVCES,660,,1.0m,,,11,11,,11,,11
12,BVCES,660,,250.0u,,,13,13,,13,,13
14,ICES,,1u,450.0,,,15,,15,15,,15
15,ICES,,1u,550.0,,,16,,16,16,,16
16,ICES,,1u,660.0,,,17,,17,17,,17
17,ABSDEL,,0.5u,16.0,15.0,,18,,18,18,18,18
18,ABSDEL,,0.7u,17.0,15.0,,19,,19,19,19,19
19,HVDSON,1.2,2.3,40.0,15.0,,20,21,20,20,20,20
21,VFEC,0.3,0.5,100.0u,0.0p,,22,23,22,22,22,22
23,VFEC,1,1.4,4.0,0.0p,,24,25,24,24,24,24
25,HVFEC,1.7,2.3,40.0,0.0p,RV,26,27,26,26,26,26
27,ICES,,1u,650.0,,,28,,28,28,,28
28,ISGS,,90n,20.0,,,29,,29,29,,29
29,ISGS,,90n,20.0,,RV,30,,30,30,,30
